sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Bundesliga,Round 14,14/12/,Bayer Leverkusen,FC Koln,2,0,0,1.77,4.24,4.35,g_1_IcCpDdyh,2.07,0.19
football,Bundesliga,Round 14,13/12/,B. Monchengladbach,Wolfsburg,1,3,2,2.06,3.86,3.5,g_1_IRwt2WSj,0.8,1.71
football,Bundesliga,Round 14,13/12/,Eintracht Frankfurt,Augsburg,1,0,0,1.9,3.85,4.1,g_1_vD0gBz64,1.05,0.62
football,Bundesliga,Round 14,13/12/,Hoffenheim,Hamburger SV,4,1,0,1.74,4.31,4.44,g_1_0nDqMiKM,1.31,1.38
football,Bundesliga,Round 14,13/12/,St. Pauli,Heidenheim,2,1,0,0.0,0.0,0.0,g_1_vXOzODkA,0.81,2.44
football,Bundesliga,Round 14,13/12/,Union Berlin,RB Leipzig,3,1,0,3.26,3.48,2.29,g_1_YZLSPZKc,1.42,0.55
football,Bundesliga,Round 13,08/12/,Dortmund,Hoffenheim,2,0,0,1.64,4.64,4.89,g_1_COT34ShK,1.26,1.15
football,Bundesliga,Round 13,07/12/,Hamburger SV,Werder Bremen,3,2,0,2.5,3.57,2.86,g_1_W6wSfFLN,1.32,0.71
football,Bundesliga,Round 13,07/12/,RB Leipzig,Eintracht Frankfurt,6,0,0,1.78,4.11,4.45,g_1_4M8rcpof,3.77,0.65
football,Bundesliga,Round 13,06/12/,Augsburg,Bayer Leverkusen,2,0,0,3.57,3.77,2.06,g_1_AJT30Jin,1.28,1.63
football,Bundesliga,Round 13,06/12/,FC Koln,St. Pauli,1,1,1,2.09,3.47,3.78,g_1_bguKdyiB,1.91,0.14
football,Bundesliga,Round 13,06/12/,Heidenheim,Freiburg,2,1,0,4.88,3.7,1.8,g_1_IqXBbcMb,2.14,1.01
football,Bundesliga,Round 13,06/12/,Stuttgart,Bayern Munich,0,5,2,4.83,4.85,1.62,g_1_OOOqeOF6,0.87,3.54
football,Bundesliga,Round 13,06/12/,Wolfsburg,Union Berlin,3,1,0,2.01,3.6,3.91,g_1_WlSig2pJ,0.81,1.92
football,Bundesliga,Round 13,06/12/,Mainz,B. Monchengladbach,0,1,2,0.0,0.0,0.0,g_1_W8Aza6Gs,0.97,1.85
football,Bundesliga,Round 12,01/12/,Freiburg,Mainz,4,0,0,1.83,3.88,4.4,g_1_AaNZToH7,4.6,0.11
football,Bundesliga,Round 12,01/12/,Eintracht Frankfurt,Wolfsburg,1,1,1,1.93,3.99,3.81,g_1_xY9SV7ne,1.59,1.86
football,Bundesliga,Round 12,30/11/,Hamburger SV,Stuttgart,2,1,0,2.97,3.61,2.4,g_1_pIyItP0D,0.98,0.75
football,Bundesliga,Round 12,30/11/,Bayer Leverkusen,Dortmund,1,2,2,2.63,3.69,2.63,g_1_GILJXTHr,0.81,0.99
football,Bundesliga,Round 12,29/11/,Bayern Munich,St. Pauli,3,1,0,1.11,11.4,24.0,g_1_pzVmwjfL,2.3,0.64
football,Bundesliga,Round 12,29/11/,Hoffenheim,Augsburg,3,0,0,1.77,4.3,4.3,g_1_O2m9roW0,2.08,0.96
football,Bundesliga,Round 12,29/11/,Union Berlin,Heidenheim,1,2,2,1.63,3.86,6.35,g_1_I5p1p71l,0.97,0.59
football,Bundesliga,Round 12,29/11/,Werder Bremen,FC Koln,1,1,1,2.22,3.91,3.09,g_1_Q75Mik9E,1.18,0.94
football,Bundesliga,Round 12,29/11/,B. Monchengladbach,RB Leipzig,0,0,1,3.06,3.89,2.24,g_1_bL3UkTwR,0.42,0.93
football,Bundesliga,Round 11,24/11/,St. Pauli,Union Berlin,0,1,2,2.7,3.08,2.98,g_1_2FepJU2k,0.71,0.56
football,Bundesliga,Round 11,23/11/,RB Leipzig,Werder Bremen,2,0,0,1.54,4.85,5.65,g_1_2iDcSYu3,2.1,0.8
football,Bundesliga,Round 11,23/11/,FC Koln,Eintracht Frankfurt,3,4,2,2.79,3.72,2.48,g_1_l8yuuCP8,1.22,1.81
football,Bundesliga,Round 11,22/11/,Augsburg,Hamburger SV,1,0,0,2.55,3.47,2.86,g_1_WW4EOjuS,1.69,1.36
football,Bundesliga,Round 11,22/11/,Bayern Munich,Freiburg,6,2,0,1.18,8.68,14.1,g_1_dfhxPaZA,3.03,0.57
football,Bundesliga,Round 11,22/11/,Dortmund,Stuttgart,3,3,1,1.81,4.03,4.34,g_1_jeAA6iJq,2.99,1.56
football,Bundesliga,Round 11,22/11/,Heidenheim,B. Monchengladbach,0,3,2,3.68,3.7,2.05,g_1_dElgH8X1,0.33,2.18
football,Bundesliga,Round 11,22/11/,Wolfsburg,Bayer Leverkusen,1,3,2,3.67,3.9,1.99,g_1_AHG5QCAF,2.13,1.1
football,Bundesliga,Round 11,22/11/,Mainz,Hoffenheim,1,1,1,2.53,3.61,2.79,g_1_O88I4Vmd,2.02,1.38
football,Bundesliga,Round 10,10/11/,Eintracht Frankfurt,Mainz,1,0,0,1.87,4.08,3.98,g_1_z3AWBhvP,1.21,0.16
football,Bundesliga,Round 10,10/11/,Stuttgart,Augsburg,3,2,0,1.59,4.45,5.64,g_1_OSEeCMk5,2.35,1.93
football,Bundesliga,Round 10,09/11/,Freiburg,St. Pauli,2,1,0,1.8,3.7,4.88,g_1_tpNvG4jt,1.02,0.53
football,Bundesliga,Round 10,09/11/,B. Monchengladbach,FC Koln,3,1,0,2.09,3.81,3.46,g_1_dtD3A0KH,2.98,2.21
football,Bundesliga,Round 10,08/11/,Bayer Leverkusen,Heidenheim,6,0,0,1.46,4.82,7.1,g_1_Sx7ODE9C,3.31,0.12
football,Bundesliga,Round 10,08/11/,Hamburger SV,Dortmund,1,1,1,4.14,3.93,1.87,g_1_lUlUQL4b,0.57,1.03
football,Bundesliga,Round 10,08/11/,Hoffenheim,RB Leipzig,3,1,0,2.82,3.99,2.35,g_1_SE0LSszn,1.82,1.8
football,Bundesliga,Round 10,08/11/,Union Berlin,Bayern Munich,2,2,1,12.5,7.0,1.24,g_1_h86C8vkU,0.81,1.42
football,Bundesliga,Round 10,08/11/,Werder Bremen,Wolfsburg,2,1,0,2.22,3.72,3.21,g_1_S0LnErLh,1.45,0.57
football,Bundesliga,Round 9,03/11/,Wolfsburg,Hoffenheim,2,3,2,2.86,3.89,2.35,g_1_pfkY2cef,1.55,1.23
football,Bundesliga,Round 9,02/11/,FC Koln,Hamburger SV2,4,1,0,2.45,3.77,2.8,g_1_WADFFzu0,3.72,1.09
football,Bundesliga,Round 9,02/11/,Bayern Munich,Bayer Leverkusen,3,0,0,0.0,0.0,0.0,g_1_S2jFnxBD,2.03,0.23
