sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Round 18,12/01/,Ajax,Waalwijk,2,1,0,1.14,11.0,16.5,g_1_vDEmLGfn,2.4,0.71
football,Eredivisie 2024 2025,Round 18,12/01/,Heracles,Sparta Rotterdam,1,1,1,3.52,3.37,2.23,g_1_lrYVXgvh,1.19,2.07
football,Eredivisie 2024 2025,Round 18,11/01/,Sittard,G.A. Eagles,0,3,2,2.96,3.48,2.47,g_1_YZkqAjno,1.1,2.94
football,Eredivisie 2024 2025,Round 17,23/12/,Willem II,Nijmegen,4,1,0,3.58,3.38,2.2,g_1_SYpV2ZvI,1.39,1.54
football,Eredivisie 2024 2025,Round 17,22/12/,PSV,Feyenoord,3,0,0,1.68,4.59,4.62,g_1_Cxe68wBt,1.5,1.3
football,Eredivisie 2024 2025,Round 17,22/12/,Utrecht,Sittard,2,5,2,1.52,4.42,6.87,g_1_KlJuhIQa,1.43,1.87
football,Eredivisie 2024 2025,Round 17,22/12/,Sparta Rotterdam,Ajax,0,2,2,4.88,3.97,1.74,g_1_tInN4eA5,0.64,1.67
football,Eredivisie 2024 2025,Round 17,22/12/,AZ Alkmaar,Twente,1,0,0,2.12,3.35,3.84,g_1_COFXgvdm,1.38,0.36
football,Eredivisie 2024 2025,Round 17,22/12/,Almere City,Heerenveen,3,0,0,3.03,3.46,2.43,g_1_Sjv1a0YP,1.18,1.36
football,Eredivisie 2024 2025,Round 17,22/12/,G.A. Eagles,NAC Breda,2,1,0,1.54,4.64,5.93,g_1_0bRmjdeC,2.33,0.73
football,Eredivisie 2024 2025,Round 17,21/12/,Waalwijk,Zwolle,1,1,1,2.74,3.66,2.54,g_1_K2bE6Hug,2.05,1.4
football,Eredivisie 2024 2025,Round 16,16/12/,NAC Breda,AZ Alkmaar,1,2,2,3.71,3.49,2.11,g_1_8UX5uusf,0.72,1.48
